system_boundary,system_boundary_description,note
BOUND_PLANT_READY_TO_OPERATE,"Default boundary. Equipment, installation, and essential auxiliary systems required for operation. Excludes external grid reinforcement and land acquisition.","system_boundary metadata: Technology Boundary; Column Header: Technology Boundary, Unit / Format: —, Allowed Values: See Nomenclature 4.3, Description: System boundary for CAPEX. 'Plant ready to operate' (default), 'Complete installation', or 'Plant extension ready to operate'."
BOUND_COMPLETE_INSTALLATION,"Full system including site-specific costs: civil works, mounting structures, grid connection (e.g., wind turbines, alpine PV, hydropower).","system_boundary metadata: Technology Boundary; Column Header: Technology Boundary, Unit / Format: —, Allowed Values: See Nomenclature 4.3, Description: System boundary for CAPEX. 'Plant ready to operate' (default), 'Complete installation', or 'Plant extension ready to operate'."
BOUND_PLANT_EXTENSION_READY_TO_OPERATE,"Retrofit or extension at an existing facility (e.g., CO₂ capture at existing point-source emitters). Excludes costs of the host plant.","system_boundary metadata: Technology Boundary; Column Header: Technology Boundary, Unit / Format: —, Allowed Values: See Nomenclature 4.3, Description: System boundary for CAPEX. 'Plant ready to operate' (default), 'Complete installation', or 'Plant extension ready to operate'."
